作物名,都道府県名,区分,栽培難易度,理由
ミニトマト,北海道,宗谷地方,62,短い夏季で生育期間不足|低温による生育遅延|強風による生育障害
ミニトマト,岡山県,南部,39,瀬戸内海式で温暖|少雨で水分管理必要|夏季の高温
ミニトマト,広島県,北部,29,内陸性で栽培良好|中国山地の適度な気温|適度な降水量
ミニトマト,広島県,南部,37,温暖な瀬戸内海式気候|少雨で水分管理必要|夏季の高温
ミニトマト,山口県,北部,35,日本海側で栽培良好|適度な湿度|温暖な夏季
ミニトマト,山口県,東部,39,瀬戸内海式気候|少雨で水分管理必要|夏季の高温
ミニトマト,山口県,中部,42,内陸性で夏季高温|夏季の高温|高温による生育障害
ミニトマト,山口県,西部,45,温暖で夏季高温|関門海峡の温暖気候|強い日射
ミニトマト,徳島県,北部,39,瀬戸内海式で温暖|少雨で水分管理必要|夏季の高温
ミニトマト,徳島県,南部,45,太平洋側で高温|高温による生育障害|強い日射
ミニトマト,香川県,香川県,42,瀬戸内海式で温暖|少雨で水分管理必要|夏季の高温
ミニトマト,愛媛県,東予,39,瀬戸内海式気候|少雨で水分管理必要|夏季の高温
ミニトマト,愛媛県,中予,45,温暖な太平洋側気候|高温による生育障害|強い日射
ミニトマト,愛媛県,南予,49,温暖で夏季高温|高温多湿|強い日射
ミニトマト,高知県,東部,55,太平洋側で高温多湿|夏季の高温|多雨による病害リスク
ミニトマト,高知県,中部,52,温暖で栽培困難|高温多湿|豊富な降水量
ミニトマト,高知県,西部,57,温暖で夏季非常に暑い|高温多湿|強い日射
ミニトマト,福岡県,福岡地方,47,都市部で夏季高温|ヒートアイランド現象|高温による生育障害
ミニトマト,福岡県,北九州地方,45,工業地帯で夏季高温|都市化の影響|夏季の高温
ミニトマト,福岡県,筑豊地方,42,内陸性で夏季高温|適度な寒暖差|夏季の高温
ミニトマト,福岡県,筑後地方,45,温暖な内陸性気候|夏季の高温|高温による生育障害
ミニトマト,佐賀県,北部,45,温暖で夏季高温|夏季の高温|高温による生育障害
ミニトマト,佐賀県,南部,49,温暖で夏季高温|夏季の高温|高温多湿
ミニトマト,長崎県,北部,42,海洋性で温暖|夏季の高温|適度な降水量
ミニトマト,長崎県,南部,47,温暖で夏季高温|夏季の高温|高温多湿
ミニトマト,長崎県,壱岐・対馬,39,海洋性で栽培良好|島嶼部の特殊気候|強風の影響
ミニトマト,長崎県,五島,45,海洋性だが風が強い|島嶼部の特殊気候|強風の影響
ミニトマト,熊本県,熊本地方,47,内陸性で夏季高温|夏季の高温|高温による生育障害
ミニトマト,熊本県,阿蘇地方,32,高原気候で栽培良好|適度な寒暖差|清涼な夏季
ミニトマト,熊本県,天草・芦北地方,52,温暖で夏季高温|夏季の高温|高温多湿
ミニトマト,熊本県,球磨地方,45,山間部で夏季高温|適度な寒暖差|夏季の高温
ミニトマト,大分県,北部,42,温暖な瀬戸内海式気候|少雨で水分管理必要|夏季の高温
ミニトマト,大分県,中部,47,温暖で夏季高温|夏季の高温|高温による生育障害
ミニトマト,大分県,南部,52,温暖多湿で夏季高温|夏季の高温|高温多湿
ミニトマト,大分県,西部,39,内陸性で栽培良好|適度な寒暖差|夏季の高温
ミニトマト,宮崎県,北部平野部,55,温暖で夏季非常に暑い|夏季の高温|高温多湿
ミニトマト,宮崎県,北部山沿い,45,山間部で夏季高温|適度な寒暖差|夏季の高温
ミニトマト,宮崎県,南部平野部,62,温暖で夏季極めて暑い|夏季の高温|高温多湿
ミニトマト,宮崎県,南部山沿い,52,内陸性で夏季高温|夏季の高温|高温による生育障害
ミニトマト,鹿児島県,薩摩地方,62,温暖で夏季極めて暑い|夏季の高温|高温多湿
ミニトマト,鹿児島県,大隅地方,65,温暖多湿で夏季高温|夏季の高温|高温多湿
ミニトマト,鹿児島県,種子島・屋久島地方,67,亜熱帯で夏季高温|年中高温|高温多湿
ミニトマト,鹿児島県,奄美地方,77,亜熱帯で夏季非常に暑い|年中高温|高温多湿
ミニトマト,沖縄県,沖縄本島地方,82,亜熱帯で栽培困難|年中高温|高温多湿
ミニトマト,沖縄県,大東島地方,85,亜熱帯海洋性で暑い|年中高温|高温多湿
ミニトマト,沖縄県,宮古島地方,87,亜熱帯で栽培困難|年中高温|高温多湿
ミニトマト,沖縄県,八重山地方,89,亜熱帯で栽培非常に困難|年中高温|高温多湿
