都道府県,区分,露地栽培難度,理由
千葉県,北東部,50,+台風の接近・上陸が非常に多く、倒伏リスクが高い|+海からの湿った空気で病害が発生しやすい|-温暖で栽培期間を確保しやすい
千葉県,北西部,50,+台風リスクに加え、東京に近いことからヒートアイランドの影響も受ける|+ゲリラ豪雨のリスク|-温暖で栽培しやすい
千葉県,南部,60,+台風の常襲地帯であり、倒伏・塩害のリスクが非常に高い|+年間を通して温暖多湿で、病害虫リスクが高い|-栽培期間は長い
東京都,東京地方,65,+ヒートアイランド現象で夜温が全く下がらず、糖度蓄積に不向き|+ゲリラ豪雨や台風による都市型水害・倒伏リスクが高い|+カラスなど都市部の鳥害が多い
東京都,伊豆諸島北部,85,+台風の進路に当たりやすく、強風・塩害のリスクが極めて高い|+栽培に適した平地が少ない|+水源が限られ、干ばつのリスクがある
東京都,伊豆諸島南部,90,+台風の常襲地帯であり、壊滅的な被害のリスクが極めて高い|+土壌が溶岩質で保水性が低い場所が多い|+鳥害や強風・塩害対策が必須
東京都,小笠原諸島,95,+台風の常襲地帯でリスクが極めて高い|+本土から離れており、資材入手や病害虫対策が困難|+年間通して高温で、害虫の活動が活発
神奈川県,東部,60,+都市部で夜温が下がりにくい|+台風やゲリラ豪雨のリスクが高い|-温暖で栽培期間は確保しやすい
神奈川県,西部,65,+箱根など山間部は冷涼で生育期間が短い|+相模湾沿岸は台風の被害を受けやすい|+イノシシなど獣害のリスク
新潟県,上越,55,+夏はフェーン現象で高温になりやすい|+台風や秋雨による倒伏・病害リスク|-山沿いは昼夜の寒暖差が大きい
新潟県,中越,50,+夏は高温になり生育は安定|-山間部は昼夜の寒暖差が大きく食味が良い|+台風や集中豪雨のリスク
新潟県,下越,50,-広大な平野で栽培に適している|-夏は高温になり生育が安定|+台風や集中豪雨のリスク
新潟県,佐渡,65,+島のため四方から風を受け、倒伏リスクが高い|+フェーン現象による高温障害のリスク|-温暖な海洋性気候で栽培期間は比較的長い
富山県,東部,55,+山間部は生育期間が短い|+夏はフェーン現象による高温障害のリスク|-立山連峰からの豊富な水を利用できる
富山県,西部,50,+夏はフェーン現象で高温になりやすい|-広大な平野があり栽培に適している|+台風や集中豪雨のリスク
石川県,能登,65,+半島地形で風が強く、倒伏リスクが高い|+比較的冷涼で、生育期間が限られることがある|-海洋性気候で冬は温暖
石川県,加賀,50,+白山周辺は冷涼で栽培期間が短い|-平野部は栽培に適した気候|+台風や集中豪雨のリスク
福井県,嶺北,50,+日本海側気候で多湿になりやすく、病害リスクがある|-夏は高温になり、生育に適している|+台風の際のフェーン現象による高温障害
福井県,嶺南,55,+若狭湾に面し、台風の接近時に被害を受けやすい|+リアス式海岸で平地が限られる|-温暖な気候で栽培期間は確保しやすい
山梨県,東部・富士五湖,70,+富士山麓で標高が高く、冷涼すぎるため栽培が困難|+生育期間が非常に短く、成熟前に秋が来る|-冷涼な気候を活かした特殊な栽培も
山梨県,中・西部,40,-盆地気候で昼夜の寒暖差が日本トップクラスで、食味が非常に良い|-日照時間が長く、生育に適している|+甲府盆地は夏、極端な高温になることがある
長野県,北部,60,+標高が高く冷涼なため、生育期間が短い|+豪雪地帯であり、春の雪解けが遅れると作付けが遅れる|-昼夜の寒暖差が大きい
長野県,中部,40,-高原気候で昼夜の寒暖差が大きく、非常に高品質なものが育つ|-台風の直接的な影響が少ない|-主要産地で栽培ノウハウが豊富
長野県,南部,45,-中部と同様、昼夜の寒暖差が大きい|-中央アルプス、南アルプスに挟まれ、台風の影響が少ない|+天竜川沿いは比較的風が強い
岐阜県,飛騨地方,65,+山間部で標高が高く、生育期間が短い|+冷涼で成熟不良のリスクがある|-昼夜の寒暖差は非常に大きい
岐阜県,美濃地方,45,+夏は非常に高温多湿になり、病害や高温障害のリスク|+伊勢湾台風の進路になるなど、台風リスクが高い|-栽培期間が長く、栽培は盛ん
静岡県,伊豆,70,+台風の常襲地帯で、強風・塩害リスクが非常に高い|+山がちで平地が少なく、獣害リスクも高い|-温暖で生育期間は長い
静岡県,東部,65,+伊豆同様、台風のリスクが高い|+富士山麓は冷涼で栽培期間が短い|-温暖で平野部では栽培しやすい
静岡県,中部,60,+台風の進路上にあり、倒伏リスクが高い|+沿岸部で風が強い|-温暖で日照も多く、栽培期間を確保しやすい
静岡県,西部,55,+遠州のからっ風と呼ばれる強風地帯で、倒伏リスクが高い|+台風の接近が多い|-日照時間が長く、温暖で栽培は盛ん
愛知県,東部,50,+台風の接近が多く、倒伏リスクがある|-温暖で栽培期間を確保しやすい
愛知県,西部,50,+濃尾平野は夏、非常に高温多湿になる|+伊勢湾台風の進路になるなど、歴史的に台風被害が多い|-温暖で広大な平野があり、栽培は盛ん
三重県,北中部,55,+台風の接近・上陸が多く、倒伏リスクが高い|+夏は高温多湿で病害が発生しやすい|-温暖で栽培期間は確保しやすい
三重県,南部,75,+台風の常襲地帯で、年間降水量も日本有数の多さ|+強風、多湿による倒伏・病害リスクが極めて高い|+山がちで平地が少ない
滋賀県,北部,55,+冬は豪雪地帯で、春先の農作業開始が遅れがち|+山間部は冷涼で生育期間が短い|-琵琶湖により気候が比較的穏やか
滋賀県,南部,45,-京阪神に近く、都市近郊農業が盛ん|-気候は温暖で安定しており、栽培しやすい|+夏の高温多湿による病害リスク
京都府,北部,60,+日本海に面し、冬は豪雪、夏は多湿|+台風や秋雨前線の影響を受けやすい|+山間部は冷涼で、獣害のリスクもある
京都府,南部,50,+盆地のため夏は非常に高温多湿になり、熱帯夜で食味が落ちやすい|+ゲリラ豪雨のリスク|-栽培期間は確保しやすい
大阪府,大阪府,60,+ヒートアイランド現象による夜間高温で食味低下のリスク|+台風の接近が多く、ビル風による倒伏リスクもある|-温暖で栽培期間は確保しやすい
兵庫県,北部,60,+日本海側気候で多湿になりがち。山間部は冷涼で雪深い|+台風や秋雨の影響を受ける|+獣害のリスクが高い
兵庫県,南部,50,+瀬戸内海式気候で温暖だが、台風の通り道になる|+夏は高温になり、水管理が重要|-栽培は盛んで、期間も確保しやすい
奈良県,北部,50,+盆地で夏の暑さが厳しく、高温障害のリスク|-比較的、台風や大雨の影響は少ない|-栽培期間は確保しやすい
奈良県,南部,80,+日本有数の多雨地帯で、日照不足や病害リスクが高い|+山が深く、栽培に適した平地が非常に少ない|+獣害のリスクが極めて高い
和歌山県,北部,60,+台風の接近が多く、紀伊水道からの風も強い|+夏は高温多湿|-温暖で栽培期間は確保しやすい
和歌山県,南部,80,+台風の常襲地帯で、特に南端の潮岬周辺はリスクが極めて高い|+年間降水量が多く、多湿による病害リスクも高い|+山がちで平地が少ない
鳥取県,東部,55,+日本海側で多湿になりやすく、病害リスクがある|+台風の進路になることも多い|-栽培期間は確保しやすい
鳥取県,中・西部,50,+日本海からの風がある|-広大な平野や砂丘地帯があり、水はけが良い|+夏は高温になりやすい
島根県,東部,55,+山が多く、日照時間が比較的少ない|+梅雨や秋雨の影響を受けやすく、病害リスク|-温暖で栽培は可能
島根県,西部,55,+年間を通して曇りがちで、日照不足のリスク|+西日本豪雨など、集中豪雨のリスクがある|-温暖で栽培期間は確保しやすい
島根県,隠岐,75,+離島のため常に強風にさらされ、倒伏・塩害リスクが高い|+台風の際は波の影響も受ける|+資材の入手などが不便
岡山県,北部,60,+中国山地沿いで冷涼、生育期間が短い|+獣害のリスクが高い|-昼夜の寒暖差が大きい
岡山県,南部,40,-「晴れの国」と言われるほど日照時間が長く、栽培に最適|-瀬戸内海式気候で災害が少ない|+夏は凪いで高温になりやすい
広島県,北部,60,+岡山北部と同様、中国山地沿いで冷涼、生育期間が短い|+豪雨災害のリスクがある|+獣害リスクが高い
広島県,南部,45,+瀬戸内海式気候で温暖だが、台風の進路になることがある|+沿岸部は風が強い|-温暖で日照も多く、栽培しやすい
山口県,北部,60,+日本海に面し、冬の天候は悪いが、夏は多湿|+風が強く、倒伏リスクがある
山口県,東部,50,+瀬戸内海側で温暖だが、台風の被害は受けやすい|-栽培に適した気候
山口県,中部,45,-盆地状で気候が比較的安定している|-県内では災害が少ない|-栽培しやすい
山口県,西部,55,+関門海峡に近く、風が強い|+台風の進路になることが多い|-温暖で栽培期間は確保しやすい
徳島県,北部,50,+瀬戸内海側で温暖だが、吉野川流域は風が強い|+台風の接近も多い|-温暖で栽培しやすい
徳島県,南部,75,+台風の常襲地帯であり、降水量も多い|+沿岸部は強風・塩害リスクが高い|+山がちで平地が少ない
香川県,香川県,50,+歴史的に干ばつのリスクが高い|+夏は瀬戸内特有の凪で高温になりやすい|-温暖で日照時間が長く、災害も少ない
愛媛県,東予,45,+瀬戸内海側で気候は良いが、台風の際はフェーン現象で高温に|+石鎚山系は冷涼|-温暖で日照も多く、栽培しやすい
愛媛県,中予,45,-松山平ynoは温暖で日照に恵まれ、栽培に適している|+台風の進路になることがある
愛媛県,南予,65,+リアス式海岸で平地が少なく、台風の被害を受けやすい|+南に行くほど台風リスクと降水量が増える
高知県,東部,75,+台風の常襲地帯であり、室戸岬周辺は特にリスクが高い|+年間降水量が多く、病害リスクも高い
高知県,中部,70,+高知平野は栽培が盛んだが、台風の常襲地帯である|+夏の集中豪雨による冠水リスクがある|-日本有数の日照時間を誇り、生育は早い
高知県,西部,75,+台風の常襲地帯であり、足摺岬周辺は特にリスクが高い|+降水量が多く、多湿になりがち
福岡県,福岡地方,50,+玄界灘に面し、風が比較的強い|+夏の高温多湿、台風のリスクがある|-温暖な平野で栽培はしやすい
福岡県,北九州地方,50,+関門海峡・周防灘からの風の影響を受ける|+台風のリスクがある|-温暖で栽培しやすい
福岡県,筑豊地方,45,+内陸の盆地で夏の暑さは厳しいが、気候は比較的安定|-台風の直接的な影響は沿岸部より少ない
福岡県,筑後地方,40,-広大な筑紫平野が広がり、気候も温暖で栽培に最適|-台風の直接的被害は比較的少ない
佐賀県,北部,60,+玄界灘からの強風、台風のリスクが高い|+地形が複雑で、日照が限られる場所もある
佐賀県,南部,40,-広大な佐賀平野が広がり、気候も温暖で栽培に最適|+有明海沿岸は台風時に高潮のリスクがある
長崎県,北部,65,+半島と島が多く、強風・台風のリスクが高い|+平地が少なく、傾斜地が多い
長崎県,南部,65,+長崎半島・島原半島など台風の被害を受けやすい地形|+多湿で病害リスクがある
長崎県,壱岐・対馬,80,+離島で常に強風にさらされ、台風の進路にもなりやすい|+塩害のリスクが非常に高い|+平地が少ない
長崎県,五島,85,+台風の常襲地帯で、塩害・強風リスクが極めて高い|+平地が少なく、栽培環境が厳しい
熊本県,熊本地方,45,-熊本平野は広大で気候も温暖、栽培に適している|+夏は盆地状になり非常に高温になる|+有明海沿岸は台風時に高潮のリスク
熊本県,阿蘇地方,70,+標高が高く冷涼なため、生育期間が短い|+火山灰土壌で水はけは良いが、栄養が流れやすい|+夏の天候が変わりやすく、日照不足のリスク
熊本県,天草・芦北地方,70,+リアス式海岸と島が多く、台風・強風のリスクが高い|+平地が少なく、栽培が困難な場所が多い
熊本県,球磨地方,60,+人吉盆地は夏、高温になるが、山間部は冷涼|+集中豪雨による球磨川の氾濫リスクがある
大分県,北部,55,+周防灘に面し、台風の影響を受ける|+県内では比較的冷涼
大分県,中部,50,+大分平野は栽培しやすい|+台風の進路になることが多い
大分県,南部,65,+リアス式海岸で、台風の被害を受けやすい|+多雨地帯で病害リスクがある
大分県,西部,65,+九重連山や由布岳など山間地で、冷涼、生育期間が短い|+夏の天候が不安定
宮崎県,北部平野部,55,+台風の進路になりやすい|+日向灘からの湿った空気で病害リスク
宮崎県,北部山沿い,65,+九州山地沿いで冷涼、生育期間が短い|+集中豪雨のリスクが高く、獣害も多い
宮崎県,南部平野部,60,+台風の上陸が日本で最も多い地域の一つ|+高温多湿で病害虫の発生が非常に多い|-日照時間は長く、生育は旺盛
宮崎県,南部山沿い,70,+多雨地帯で、日照不足や病害リスクが高い|+台風による被害に加え、山崩れなどのリスクもある
鹿児島県,薩摩地方,65,+台風の常襲地帯で、特に沿岸部はリスクが高い|+桜島の降灰による生育障害のリスクがある
鹿児島県,大隅地方,70,+台風の常襲地帯で、上陸も多い|+シラス台地で水はけが良すぎる（乾燥しやすい）
鹿児島県,種子島・屋久島地方,90,+台風の常襲地帯で、壊滅的被害のリスクが極めて高い|+屋久島は日本一の多雨地帯で日照不足が深刻|+種子島は平坦で風を遮るものがない
鹿児島県,奄美地方,90,+台風の常襲地帯であり、倒伏や塩害のリスクが極めて高い|+高温多湿で病害虫の発生が非常に多い|-生育期間は非常に長いが、栽培適期が台風シーズンと重なる
沖縄県,沖縄本島地方,85,+台風の常襲地帯で、強風・塩害リスクが極めて高い|+年間を通して高温で、害虫の活動が止まらない|+梅雨が長く、多湿による病害リスク
沖縄県,大東島地方,95,+周囲に何もなく、台風の威力が直接直撃する|+土壌がアルカリ性の石灰岩質で、とうもろこし栽培に不向き|+水源が乏しい
沖縄県,宮古島地方,95,+台風の常襲地帯で、特に強大な台風の被害を受けやすい|+島全体が平坦で風を遮るものがない|+土壌が石灰岩質でアルカリ性
沖縄県,八重山地方,95,+日本で最も台風のリスクが高い地域の一つ|+高温多湿の期間が長く、病害虫との戦いになる|+スコールのような激しい雨が受粉を阻害する
