都道府県,区分,露地栽培難度,理由
東京都,伊豆諸島南部,65,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+潮風害のリスク
東京都,小笠原諸島,90,+亜熱帯気候で栽培不適|+高温多湿による病害虫のリスク|+台風の影響が非常に大きい
神奈川県,東部,45,+高温多湿による病害虫のリスク|+結球不良のリスク|+台風の影響
神奈川県,西部,40,+高温多湿による病害虫のリスク|+結球不良のリスク|+台風の影響
新潟県,上越,40,+病害虫のリスク|+台風の影響|-比較的栽培期間を確保しやすい
新潟県,中越,40,+病害虫のリスク|+台風の影響|-比較的栽培期間を確保しやすい
新潟県,下越,40,+病害虫のリスク|+台風の影響|-比較的栽培期間を確保しやすい
新潟県,佐渡,45,+病害虫のリスク|+台風の影響|+潮風害のリスク
富山県,東部,40,+病害虫のリスク|+台風の影響|-比較的栽培期間を確保しやすい
富山県,西部,40,+病害虫のリスク|+台風の影響|-比較的栽培期間を確保しやすい
石川県,能登,45,+病害虫のリスク|+台風の影響|+潮風害のリスク
石川県,加賀,40,+病害虫のリスク|+台風の影響|-比較的栽培期間を確保しやすい
福井県,嶺北,40,+病害虫のリスク|+台風の影響|-比較的栽培期間を確保しやすい
福井県,嶺南,45,+病害虫のリスク|+台風の影響|+高温多湿のリスク
山梨県,東部・富士五湖,35,+病害虫のリスク|+台風の影響|-昼夜の寒暖差が大きい
山梨県,中・西部,35,+病害虫のリスク|+台風の影響|-昼夜の寒暖差が大きい
長野県,北部,30,-冷涼な気候が栽培に適する|+病害虫のリスク|+連作障害のリスク
長野県,中部,30,-冷涼な気候が栽培に適する|+病害虫のリスク|+連作障害のリスク
長野県,南部,30,-冷涼な気候が栽培に適する|+病害虫のリスク|+連作障害のリスク
岐阜県,飛騨地方,35,+病害虫のリスク|-比較的冷涼な気候|+連作障害のリスク
岐阜県,美濃地方,45,+高温多湿による病害虫のリスク|+結球不良のリスク|+台風の影響
静岡県,伊豆,55,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+結球不良のリスク
静岡県,東部,45,+高温多湿による病害虫のリスク|+台風の影響|+結球不良のリスク
静岡県,中部,45,+高温多湿による病害虫のリスク|+台風の影響|+結球不良のリスク
静岡県,西部,45,+高温多湿による病害虫のリスク|+台風の影響|+結球不良のリスク
愛知県,東部,50,+高温多湿による病害虫のリスク|+結球不良のリスク|+台風の影響
愛知県,西部,50,+高温多湿による病害虫のリスク|+結球不良のリスク|+台風の影響
三重県,北中部,50,+高温多湿による病害虫のリスク|+結球不良のリスク|+台風の影響
三重県,南部,55,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+結球不良のリスク
滋賀県,北部,40,+病害虫のリスク|+台風の影響|-比較的栽培期間を確保しやすい
滋賀県,南部,40,+病害虫のリスク|+台風の影響|-比較的栽培期間を確保しやすい
京都府,北部,45,+高温多湿による病害虫のリスク|+台風の影響|+結球不良のリスク
京都府,南部,50,+高温多湿による病害虫のリスク|+結球不良のリスク|+都市部特有の環境
大阪府,大阪府,55,+高温多湿による病害虫のリスク|+結球不良のリスク|+都市部特有の環境
兵庫県,北部,45,+高温多湿による病害虫のリスク|+台風の影響|+結球不良のリスク
兵庫県,南部,50,+高温多湿による病害虫のリスク|+結球不良のリスク|+都市部特有の環境
奈良県,北部,45,+高温多湿による病害虫のリスク|+結球不良のリスク|+台風の影響
奈良県,南部,45,+高温多湿による病害虫のリスク|+結球不良のリスク|+台風の影響
和歌山県,北部,55,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+結球不良のリスク
和歌山県,南部,60,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+結球不良のリスク
鳥取県,東部,45,+高温多湿による病害虫のリスク|+台風の影響|+結球不良のリスク
鳥取県,中・西部,45,+高温多湿による病害虫のリスク|+台風の影響|+結球不良のリスク
島根県,東部,45,+高温多湿による病害虫のリスク|+台風の影響|+結球不良のリスク
島根県,西部,45,+高温多湿による病害虫のリスク|+台風の影響|+結球不良のリスク
島根県,隠岐,55,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+潮風害のリスク
岡山県,北部,45,+高温多湿による病害虫のリスク|+台風の影響|+結球不良のリスク
岡山県,南部,50,+高温多湿による病害虫のリスク|+結球不良のリスク|+台風の影響
広島県,北部,45,+高温多湿による病害虫のリスク|+台風の影響|+結球不良のリスク
広島県,南部,50,+高温多湿による病害虫のリスク|+結球不良のリスク|+台風の影響
山口県,北部,50,+高温多湿による病害虫のリスク|+台風の影響|+結球不良のリスク
山口県,東部,50,+高温多湿による病害虫のリスク|+台風の影響|+結球不良のリスク
山口県,中部,50,+高温多湿による病害虫のリスク|+台風の影響|+結球不良のリスク
山口県,西部,50,+高温多湿による病害虫のリスク|+台風の影響|+結球不良のリスク
徳島県,北部,55,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+結球不良のリスク
徳島県,南部,60,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+結球不良のリスク
香川県,香川県,50,+高温多湿による病害虫のリスク|+結球不良のリスク|+台風の影響
愛媛県,東予,55,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+結球不良のリスク
愛媛県,中予,55,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+結球不良のリスク
愛媛県,南予,60,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+結球不良のリスク
高知県,東部,65,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+結球不良のリスク
高知県,中部,65,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+結球不良のリスク
高知県,西部,65,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+結球不良のリスク
福岡県,福岡地方,55,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+結球不良のリスク
福岡県,北九州地方,55,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+結球不良のリスク
福岡県,筑豊地方,50,+高温多湿による病害虫のリスク|+台風の影響|+結球不良のリスク
福岡県,筑後地方,50,+高温多湿による病害虫のリスク|+台風の影響|+結球不良のリスク
佐賀県,北部,50,+高温多湿による病害虫のリスク|+台風の影響|+結球不良のリスク
佐賀県,南部,55,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+結球不良のリスク
長崎県,北部,60,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+結球不良のリスク
長崎県,南部,60,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+結球不良のリスク
長崎県,壱岐・対馬,65,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+潮風害のリスク
長崎県,五島,65,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+潮風害のリスク
熊本県,熊本地方,55,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+結球不良のリスク
熊本県,阿蘇地方,45,+高温多湿による病害虫のリスク|+台風の影響|+比較的冷涼な気候
熊本県,天草・芦北地方,60,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+結球不良のリスク
熊本県,球磨地方,50,+高温多湿による病害虫のリスク|+台風の影響|+結球不良のリスク
大分県,北部,50,+高温多湿による病害虫のリスク|+台風の影響|+結球不良のリスク
大分県,中部,50,+高温多湿による病害虫のリスク|+台風の影響|+結球不良のリスク
大分県,南部,55,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+結球不良のリスク
大分県,西部,45,+高温多湿による病害虫のリスク|+台風の影響|+結球不良のリスク
宮崎県,北部平野部,65,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+結球不良のリスク
宮崎県,北部山沿い,60,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+結球不良のリスク
宮崎県,南部平野部,70,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+結球不良のリスク
宮崎県,南部山沿い,65,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+結球不良のリスク
鹿児島県,薩摩地方,70,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+結球不良のリスク
鹿児島県,大隅地方,70,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+結球不良のリスク
鹿児島県,種子島・屋久島地方,75,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+潮風害のリスク
鹿児島県,奄美地方,85,+亜熱帯気候で栽培不適|+高温多湿による病害虫のリスク|+台風の影響が非常に大きい
沖縄県,沖縄本島地方,90,+亜熱帯気候で栽培不適|+高温多湿による病害虫のリスク|+台風の影響が非常に大きい
沖縄県,大東島地方,95,+亜熱帯気候で栽培不適|+高温多湿による病害虫のリスク|+台風の影響が非常に大きい
沖縄県,宮古島地方,95,+亜熱帯気候で栽培不適|+高温多湿による病害虫のリスク|+台風の影響が非常に大きい
沖縄県,八重山地方,95,+亜熱帯気候で栽培不適|+高温多湿による病害虫のリスク|+台風の影響が非常に大きい
